Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities
Budhanilkantha,Kathmandu,62000000,5,6,3.0,4,South West,2075.0,5818.25,14.0, Gravelled,5818.25,9
Budhanilkantha,Kathmandu,3700000,0,0,3.0,0,East,2074.0,6160.5,15.0, Gravelled,6160.5,0
Dhapasi,Kathmandu,69000000,7,7,3.0,4,South East,2074.0,4107.0,20.0, Blacktopped,4107.0,9
Golfutar,Kathmandu,45000000,6,7,3.0,2,East,2075.0,2053.5,15.0, Blacktopped,889850.0,7
Other,Kathmandu,65000000,6,5,2.0,0,East,2074.0,4107.0,16.0, Blacktopped,4107.0,24
Other,Kathmandu,42000000,8,7,4.0,4,South East,2074.0,2053.5,20.0, Paved,2053.5,9
Budhanilkantha,Kathmandu,19000000,8,4,3.0,1,North,2073.0,8316.75,10.0, Gravelled,8316.75,10
Golfutar,Kathmandu,4500000,0,0,3.0,0,East,2074.0,1369.0,16.0, Blacktopped,1369.0,0
Bhangal,Kathmandu,23000000,5,5,3.0,1,West,2073.0,1369.0,13.0, Gravelled,1369.0,1
Baluwatar,Kathmandu,60000000,7,4,4.0,4,East,2076.0,1882.375,14.0, Blacktopped,1882.375,25
Baluwatar,Kathmandu,60000000,5,6,4.0,4,East,2076.0,1882.375,13.0, Paved,1882.375,1
Basundhara,Kathmandu,25500000,7,4,3.0,1,East,2074.0,1369.0,14.0, Blacktopped,1369.0,17
Samakhusi,Kathmandu,55000000,5,4,2.0,2,South East,2074.0,2395.75,14.0, Blacktopped,2395.75,22
Samakhusi,Kathmandu,55000000,5,6,3.0,2,South,2073.0,2395.75,14.0, Blacktopped,2395.75,1
Basundhara,Kathmandu,25500000,7,6,4.0,1,South West,2075.0,1283.4375,14.0, Blacktopped,1283.4375,1
Dhapasi,Kathmandu,2700000,0,0,3.0,0,East,2074.0,1711.25,15.0, Gravelled,1711.25,0
Other,Kathmandu,27500000,6,3,2.0,1,East,2076.0,1369.0,15.0, Blacktopped,1369.0,17
Budhanilkantha,Kathmandu,63000000,5,4,2.0,2,East,2074.0,3422.5,16.0, Blacktopped,3422.5,23
Budhanilkantha,Kathmandu,3500000,0,0,3.0,0,West,2074.0,3422.5,14.0, Blacktopped,3422.5,0
Budhanilkantha,Kathmandu,34500000,6,4,3.0,2,East,2076.0,2053.5,30.0, Blacktopped,2053.5,17
Baluwatar,Kathmandu,39500000,3,3,2.0,2,East,2074.0,1779.7,15.0, Blacktopped,1779.7,14
